Part;Value;Device;Package;Description;DATASHEET;DIGIKEY;ELEMENT14;OTHER;PROD_ID;SPICEPREFIX;TP_SIGNAL_NAME;URL;VALUE
1V8;TPSQTP13R;TPSQTP13R;TP13R;Test pad;;;;;;;;;
3V;TPSQTP13R;TPSQTP13R;TP13R;Test pad;;;;;;;;;
ANT;;SMACONNECTOR_EDGE;SMA_EDGELAUNCH;SMA Connector;;;;;;;;;
C1;10µ;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;C;;;
C2;1.0uF;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C3;100n;C-EUC0402;C0402;CAPACITOR, European symbol;;;;;;;;;
C4;0.47uF;CAP0603-CAP;0603-CAP;Capacitor;;;;;CAP-13216;;;;
C5;1.0uF;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C6;10uF;CAP_CERAMIC0805-NOOUTLINE;0805-NO;Ceramic Capacitors;;;;;;;;;
C7;10uF;CAP_CERAMIC0805-NOOUTLINE;0805-NO;Ceramic Capacitors;;;;;;;;;
C8;10uF;CAP_CERAMIC0805-NOOUTLINE;0805-NO;Ceramic Capacitors;;;;;;;;;
C9;10µ;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;C;;;
C10;10uF;CAP_CERAMIC0805-NOOUTLINE;0805-NO;Ceramic Capacitors;;;;;;;;;
C11;10uF;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C12;10nF 10%;CAP-0603;C0603;Ceramic Capacitors;;;;;;;;;
C13;1µF;C-EUC0402;C0402;CAPACITOR, European symbol;;;;;;;;;
C14;130pf;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C15;100n;C-EUC0402;C0402;CAPACITOR, European symbol;;;;;;;;;
C16;100nF 10%;CAP-0603;C0603;Ceramic Capacitors;;;;;;;;;
C17;10uF;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C18;100nF 10%;CAP-0603;C0603;Ceramic Capacitors;;;;;;;;;
C19;130pf;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C20;100µ;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;;C;;;
C21;100µ;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;;C;;;
C22;100n;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C23;10µ;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;C;;;
C24;100nF 10%;CAP-0603;C0603;Ceramic Capacitors;;;;;;;;;
C25;100nF 10%;CAP-0603;C0603;Ceramic Capacitors;;;;;;;;;
C26;100n;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
C27;1µ;1.0UF-16V-10%(0603);0603-CAP;CAP-00868;;;;;CAP-00868;;;;1.0uF
D1;MBR120;DIODE-SCHOTTKYSOD-123;SOD-123;;;;;;;;;;
D3;RED;LED0805_NOOUTLINE;CHIPLED_0805_NOOUTLINE;LED;;;;;;;;;
D5;RED;LED0805_NOOUTLINE;CHIPLED_0805_NOOUTLINE;LED;;;;;;;;;
D6;BAT20J;DIODE-SCHOTTKY-BAT20J;SOD-323;Schottky diodes in SFE's production catalog;;;;;DIO-11623;;;;BAT20J
DWN2;LS12T2;LS12T2;LS12T2;;;;;;;;;;
EXTC.;TPSQTP13R;TPSQTP13R;TP13R;Test pad;;;;;;;;;
GND;TPSQTP13R;TPSQTP13R;TP13R;Test pad;;;;;;;;;
IC1;AP3602;AP3602;SOT23-6;;;;;;;;;;
IC2;GD25Q16;SPIFLASH_8PINUX;USON8;SOIC8 SPI Flash;;;;;;;;;
J2;;USB_C16PIN;USB-C-16P;USB Type C 16Pin Connector;;;;;CONN-14122;;;;
J3;CORTEX_JTAG_DEBUG_MINIMUM_PTH_NS;CORTEX_JTAG_DEBUG_MINIMUM_PTH_NS;2X5-PTH-1.27MM-NO_SILK;Cortex Debug Connector - 10 pin;;;;;;;;;
JP2;;M02PTH;1X02;"Standard 2-pin 0.1 header. Use with""";;;;;;;;;
LED1;RGBLED5050;RGBLED5050;RGBLED5050;For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!;;;;;;;;;
